# Tx Location: [7.0, 4.0, 1.5]
# Rx Positions: [[-7, 8, 1.5], [7, 8, 1.5], [-7, -8, 1.5], [7, -8, 1.5]]
# Rx Orientations: [[-0.7853981633974483, 0, 0], [-2.356194490192345, 0, 0], [0.7853981633974483, 0, 0], [2.356194490192345, 0, 0]]
trial_id,receiver,path_index,delay,angle
0,1,0,1.3065326633165828e-08,0.79856126110802
0,1,1,5.226130653266331e-08,0.41244372826458164
0,1,2,8.44221105527638e-08,0.6406040885811586
0,1,3,8.944723618090451e-08,-0.28958814963257873
0,3,0,4.120603015075376e-08,-0.8336628550028781
0,3,1,5.728643216080401e-08,0.008775398473714446
0,3,2,8.341708542713566e-08,-0.5177485099491559
1,1,0,1.3065326633165828e-08,0.79856126110802
1,1,1,5.226130653266331e-08,0.41244372826458164
1,1,2,8.542713567839194e-08,0.6230532916337297
1,1,3,8.944723618090451e-08,-0.27203735268514984
1,3,0,4.120603015075376e-08,-0.8161120580554491
1,3,1,5.728643216080401e-08,0.008775398473714446
1,3,2,8.341708542713566e-08,-0.570400900791443
2,1,0,1.3065326633165828e-08,0.79856126110802
2,1,1,4.723618090452261e-08,0.6932564794234457
2,1,2,5.226130653266331e-08,0.39489293131715275
2,1,3,9.045226130653265e-08,-0.2544865557377207
2,1,4,9.547738693467335e-08,0.5879516977388719
2,3,0,4.120603015075376e-08,-0.8161120580554491
2,3,1,8.643216080402009e-08,-0.4475453221594399
3,1,0,1.3065326633165828e-08,0.79856126110802
3,1,1,5.226130653266331e-08,0.41244372826458164
3,1,2,8.542713567839194e-08,0.6406040885811586
3,1,3,8.944723618090451e-08,-0.2544865557377207
3,3,0,4.120603015075376e-08,-0.8161120580554491
3,3,1,8.542713567839194e-08,-0.4475453221594399
4,1,0,1.3065326633165828e-08,0.79856126110802
4,1,1,4.723618090452261e-08,0.6932564794234457
4,1,2,5.226130653266331e-08,0.39489293131715275
4,1,3,8.944723618090451e-08,-0.27203735268514984
4,3,0,4.120603015075376e-08,-0.7985612611080201
4,3,1,5.829145728643215e-08,0.008775398473714446
4,3,2,8.542713567839194e-08,-0.4475453221594399
5,1,0,1.3065326633165828e-08,0.79856126110802
5,1,1,5.226130653266331e-08,0.41244372826458164
5,1,2,8.542713567839194e-08,0.6406040885811586
5,1,3,9.045226130653265e-08,-0.27203735268514984
5,3,0,4.120603015075376e-08,-0.8336628550028781
5,3,1,8.643216080402009e-08,-0.4826469160542979
6,1,0,1.3065326633165828e-08,0.79856126110802
6,1,1,4.723618090452261e-08,0.6581548855285879
6,1,2,5.226130653266331e-08,0.39489293131715275
6,1,3,8.944723618090451e-08,-0.2544865557377207
6,3,0,4.120603015075376e-08,-0.8161120580554491
6,3,1,8.743718592964823e-08,-0.39489293131715275
7,1,0,1.3065326633165828e-08,0.79856126110802
7,1,1,5.226130653266331e-08,0.41244372826458164
7,1,2,8.542713567839194e-08,0.6581548855285879
7,1,3,8.944723618090451e-08,-0.2544865557377207
7,3,0,4.0201005025125626e-08,-0.8161120580554491
7,3,1,5.628140703517587e-08,0.008775398473714446
7,3,2,8.542713567839194e-08,-0.4475453221594399
8,1,0,1.3065326633165828e-08,0.79856126110802
8,1,1,5.226130653266331e-08,0.41244372826458164
8,1,2,8.542713567839194e-08,0.6406040885811586
8,1,3,8.944723618090451e-08,-0.27203735268514984
8,3,0,4.120603015075376e-08,-0.8161120580554491
8,3,1,8.542713567839194e-08,-0.4826469160542979
9,1,0,1.3065326633165828e-08,0.79856126110802
9,1,1,5.226130653266331e-08,0.41244372826458164
9,1,2,8.542713567839194e-08,0.6406040885811586
9,1,3,8.944723618090451e-08,-0.2544865557377207
9,3,0,4.0201005025125626e-08,-0.8336628550028781
9,3,1,5.728643216080401e-08,0.02632619542114334
9,3,2,8.44221105527638e-08,-0.465096119106869
